date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | a
2011-01-033| 2
2011-01-03 |2
2011-0103 | 1
2011-a1-03 | 1
20113-0-03 | 1
2011-01-03 | 1.2
2011-01-03 | 1,2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2001-42-42 |
2010-10-10 | .
2010-10-10 |        .
2010-10-10 | .3
2010-10-10 | 3.
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | 2.147483648
2012-01-11 | 2.147483.648
| 2012-01-12
| 3
 | 2012-01-12 | 3
2009-01-02 | 6
2009-01-01 | 2.3
2018-02-17 | 5
2018-02-17 | 1000
2018-02-17 | 1001
2022-05-10 | 123

2020-06-13 | 59.97
2020-06-28 | 04.23
2020-07-28 | 042.4
2020-07-31 | 114.93
2020-08-03 | 077.77
2020-08-06 | 750.28
2020-08-09 | 767.6
2020-08-12 | 392.43
